melodyFile,cd3,cd2,cd1,cdVector,cdAscDesc,cdNotes,coder,melody
mel3P001.aif,ti,sol,mi,210,2,,Connor,mel3
mel3P002.aif,mi,re,do,210,2,,Connor,mel3
mel3P003.aif,,,,,2,AUDIO FILE CORRUPTED,Connor,mel3
mel3P004.aif,do,ti,do,101,1,,Connor,mel3
mel3P006.aif,do,ti,do,101,1,,Connor,mel3
mel3P007.aif,do,ti,do,101,1,,Connor,mel3
mel3P008.aif,do,ti,do,101,1,,Connor,mel3
mel3P009.aif,re,ti,do,201,1,,Connor,mel3
mel3P010.aif,mi,re,do,210,2,,Connor,mel3
mel3P011.aif,,,,210,2,,Connor,mel3
mel3P012.aif,mi,ti,do,201,1,,Connor,mel3
mel3P014.aif,do,ti,do,101,1,,Connor,mel3
mel3P015.aif,mi,re,do,210,2,,Connor,mel3
mel3P016.aif,re,ti,do,201,1,,Connor,mel3
mel3P017.aif,re,mi,do,120,2,,Connor,mel3
mel3P018.aif,la,sol,la,101,1,,Connor,mel3
mel3P019.aif,mi,re,do,210,2,,Connor,mel3
mel3P020.aif,do,ti,do,101,1,,Connor,mel3
mel3P021.aif,re,mi,do,120,2,,Connor,mel3
mel3P022.aif,re,ti,do,201,1,,Connor,mel3
mel3P023.aif,fa,mi,re,210,2,"participant gave up at the end, but that's what I hear",Connor,mel3
mel3P024.aif,re,ti,do,201,1,,Connor,mel3
mel3P025.aif,mi,re,do,210,2,,Connor,mel3
mel3P026.aif,do,re,do,10,2,,Connor,mel3
mel3P027.aif,do,re,do,10,2,,Connor,mel3
mel3P028.aif,do,ti,do,101,1,,Connor,mel3
mel3P029.aif,fa,mi,do,210,2,,Connor,mel3
mel3P030.aif,sol,fi,la,102,1,,Connor,mel3
mel3P031.aif,do,la,sol,210,2,,Connor,mel3
mel3P032.aif,do,ti,do,101,1,,Connor,mel3
mel3P033.aif,do,ti,do,101,1,,Connor,mel3
mel3P034.aif,mi,re,do,210,2,,Connor,mel3
mel3P035.aif,mi,re,do,210,2,,Connor,mel3
mel3P036.aif,do,ti,do,101,1,,Connor,mel3
mel3P037.aif,mi,re,do,210,2,,Connor,mel3
mel3P038.aif,re,ti,do,201,1,,Connor,mel3
mel3P039.aif,mi,re,do,210,2,,Connor,mel3
mel3P040.aif,mi,re,do,210,2,,Connor,mel3
mel3P041.aif,mi,re,do,210,2,,Connor,mel3
mel3P042.aif,mi,ti,do,201,1,,Connor,mel3
mel3P201.aif,do,re,do,10,2,,Connor,mel3
mel3P202.aif,,,,201,1,,Connor,mel3
mel3P203.aif,,,,210,2,,Connor,mel3
mel3P204.aif,,,,210,2,,Connor,mel3
mel3P205.aif,mi,re,do,210,2,,Connor,mel3
mel3P207.aif,,,,210,2,,Connor,mel3
mel3P208.aif,,,,,,NO AUDIO,Connor,mel3
mel3P209.aif,mi,re,do,210,2,,Connor,mel3
mel3P210.aif,mi,re,do,210,2,,Connor,mel3
mel3P211.aif,ti,re,do,21,2,,Connor,mel3
mel3P212.aif,la,sol,la,101,1,,Connor,mel3
mel3P213.aif,,,,210,2,,Connor,mel3
mel3P214.aif,do,re,do,10,2,,Connor,mel3
mel3P215.aif,mi,re,do,210,2,,Connor,mel3
mel3P216.aif,do,ti,do,101,1,,Connor,mel3
mel3P217.aif,,,,101,1,"just oscilates between D and B (minor third), but not really in a key. My best solfege ID is sol-mi-sol",Connor,mel3
mel3P218.aif,mi,ti,do,201,1,,Connor,mel3
mel3P219.aif,,,,201,1,not really in a key,Connor,mel3
mel3P220.aif,,,,210,2,not really in a key,Connor,mel3
mel3P221.aif,,,,,1,not really in a key,Connor,mel3
mel3P223.aif,mi,re,do,210,2,"switched keys, but it will work",Connor,mel3
mel3P224.aif,,,,,,NO AUDIO,Connor,mel3
mel3P225.aif,,,,,,NO AUDIO,Connor,mel3
mel3P227.aif,mi,re,do,210,2,wasn't close on the melody.,Connor,mel3
mel3P228.aif,,,,210,2,not really in a key,Connor,mel3
mel3P229.aif,re,fa,mi,21,2,these are questionable solfege syllables,Connor,mel3
mel3P230.aif,,,,210,2,,Connor,mel3
mel4P001.aif,mi,fa,do,120,2,,Connor,mel4
mel4P002.aif,do,ti,do,101,1,,Connor,mel4
mel4P003.aif,,,,,2,AUDIO FILE CORRUPTED,Connor,mel4
mel4P004.aif,,,,,2,not really in a key,Connor,mel4
mel4P005.aif,do,ti,do,101,1,,Connor,mel4
mel4P007.aif,,,,,2,not really in a key,Connor,mel4
mel4P008.aif,sol,te,do,12,1,,Connor,mel4
mel4P009.aif,,,,,2,not really in a key,Connor,mel4
mel4P010.aif,do ,re,do,10,2,,Connor,mel4
mel4P011.aif,do ,re,do,10,2,,Connor,mel4
mel4P012.aif,,,,,2,not really in a key,Connor,mel4
mel4P013.aif,ti,re,do,21,2,,Connor,mel4
mel4P014.aif,mi,re,do,210,2,,Connor,mel4
mel4P015.aif,do,re,do,10,2,,Connor,mel4
mel4P016.aif,do,sol,so,101,1,,Connor,mel4
mel4P017.aif,do,re,do,10,2,,Connor,mel4
mel4P018.aif,mi,re,do,210,2,,Connor,mel4
mel4P019.aif,do,ti,do,101,1,,Connor,mel4
mel4P020.aif,do,ti,do,101,1,,Connor,mel4
mel4P021.aif,mi,re,do,210,2,,Connor,mel4
mel4P022.aif,do,ti,do,101,1,,Connor,mel4
mel4P023.aif,fa,mi,do,210,2,,Connor,mel4
mel4P024.aif,do,ti,do,101,1,,Connor,mel4
mel4P025.aif,do,re,do,10,2,,Connor,mel4
mel4P026.aif,do,ti,do,101,1,,Connor,mel4
mel4P027.aif,do,ti,do,101,1,,Connor,mel4
mel4P028.aif,do,ti,do,101,1,,Connor,mel4
mel4P029.aif,do,re,do,10,2,,Connor,mel4
mel4P030.aif,re,do,la,210,2,,Connor,mel4
mel4P031.aif,mi,re,do,210,2,,Connor,mel4
mel4P032.aif,do,la,sol,210,2,,Connor,mel4
mel4P033.aif,do,ti,do,101,1,pretty out of tune,Connor,mel4
mel4P034.aif,do,ti,do,101,1,,Connor,mel4
mel4P035.aif,do,re,do,10,2,,Connor,mel4
mel4P036.aif,do,ti,do,101,1,,Connor,mel4
mel4P037.aif,do,ti,do,101,1,,Connor,mel4
mel4P038.aif,do,ti,do,101,1,,Connor,mel4
mel4P039.aif,mi,ti,do,201,1,,Connor,mel4
mel4P040.aif,do,ti,do,101,1,,Connor,mel4
mel4P041.aif,do,re,do,10,2,,Connor,mel4
mel4P042.aif,,,,101,1,not really in a key,Connor,mel4
mel4P201.aif,do,ti,do,101,1,could also be fa - me - do. not quite sure,Connor,mel4
mel4P202.aif,,,,12,1,not really in a key,Connor,mel4
mel4P203.aif,do,re,do,10,2,,Connor,mel4
mel4P204.aif,,,,210,2,not really in a key,Connor,mel4
mel4P205.aif,do,re,do,10,2,,Connor,mel4
mel4P207.aif,,,,210,2, ,Connor,mel4
mel4P208.aif,sol,te,do,12,1,,Connor,mel4
mel4P209.aif,,,,21,2,,Connor,mel4
mel4P210.aif,do,re,do,10,2,solfege is questionable given that what comes before it isn't really in a key,Connor,mel4
mel4P211.aif,do,re,do,10,2,,Connor,mel4
mel4P212.aif,,,,21,2,not really in a key,Connor,mel4
mel4P213.aif,do,re,do,10,2,,Connor,mel4
mel4P214.aif,do,re,do,10,2,,Connor,mel4
mel4P215.aif,do,ti,do,101,1,,Connor,mel4
mel4P216.aif,do,ti,do,101,1,,Connor,mel4
mel4P217.aif,,,,101,1,not really in a key,Connor,mel4
mel4P218.aif,do,ti,do,101,1,pretty out of tune,Connor,mel4
mel4P219.aif,,,,101,1,not really in a key,Connor,mel4
mel4P220.aif,,,,210,2,not really in a key,Connor,mel4
mel4P221.aif,,,,210,2,not really in a key,Connor,mel4
mel4P223.aif,do,re,do,10,2,,Connor,mel4
mel4P224.aif,,,,,,NO AUDIO,Connor,mel4
mel4P225.aif,,,,,,NO AUDIO,Connor,mel4
mel4P227.aif,do,re,do,10,2,,Connor,mel4
mel4P228.aif,do,ti,do,101,1,,Connor,mel4
mel4P229.aif,,,,101,1,lost the key,Connor,mel4
mel4P230.aif,re,di,re,101,1,questionable participant execution,Connor,mel4
mel5P001.aif,,,,101,1,not really in a key,Connor,mel5
mel5P002.aif,fa,re,do,210,2,,Connor,mel5
mel5P003.aif,,,,101,1,AUDIO FILE CORRUPTED,Connor,mel5
mel5P004.aif,do,ti,do,101,1,,Connor,mel5
mel5P006.aif,mi,re,do,210,2,,Connor,mel5
mel5P007.aif,do,ti,do,101,1,,Connor,mel5
mel5P008.aif,do,ti,do,101,1,,Connor,mel5
mel5P009.aif,do,re,do,10,2,,Connor,mel5
mel5P010.aif,re,la,do,201,1,,Connor,mel5
mel5P011.aif,,,,101,1,not really in a key,Connor,mel5
mel5P012.aif,mi,re,do,210,2,,Connor,mel5
mel5P013.aif,mi,re,do,210,2,not really in a key for most of this,Connor,mel5
mel5P014.aif,,,,120,2,not really in a key,Connor,mel5
mel5P015.aif,do,ti,do,101,1,,Connor,mel5
mel5P016.aif,,,,,1,not really in a key,Connor,mel5
mel5P017.aif,,,,201,1,not sure about this one,Connor,mel5
mel5P018.aif,mi,re,do,210,2,,Connor,mel5
mel5P019.aif,mi,re,do,210,2,,Connor,mel5
mel5P020.aif,do,re,do,10,2,,Connor,mel5
mel5P021.aif,,,,,2,,Connor,mel5
mel5P022.aif,re,ti,do,201,1,,Connor,mel5
mel5P023.aif,mi,re,do,210,2,,Connor,mel5
mel5P024.aif,do,re,do,10,2,,Connor,mel5
mel5P025.aif,do,ti,do,101,1,,Connor,mel5
mel5P026.aif,do,re,do,10,2,,Connor,mel5
mel5P027.aif,do,ti,do,101,1,,Connor,mel5
mel5P028.aif,fa,re,do,210,2,,Connor,mel5
mel5P029.aif,do,ti,do,101,1,,Connor,mel5
mel5P030.aif,,,,101,1,not really in a key,Connor,mel5
mel5P031.aif,mi,re,do,210,2,,Connor,mel5
mel5P032.aif,,,,210,2,not really in a key,Connor,mel5
mel5P033.aif,fa,mi,fa,101,1,,Connor,mel5
mel5P034.aif,la,sol,do,102,1,,Connor,mel5
mel5P035.aif,sol,la,sol,10,2,,Connor,mel5
mel5P036.aif,re,mi,do,120,2,,Connor,mel5
mel5P037.aif,do,ti,do,101,1,,Connor,mel5
mel5P038.aif,mi,re,do,210,2,,Connor,mel5
mel5P039.aif,fa,re,do,210,2,,Connor,mel5
mel5P040.aif,mi,ti,do,201,1,solfege is questionable given key wasn't completely clear,Connor,mel5
mel5P041.aif,do,ti,do,101,1,,Connor,mel5
mel5P042.aif,do,re,do,10,2,,Connor,mel5
mel5P201.aif,,,,210,2,not really in a key,Connor,mel5
mel5P202.aif,,,,210,2,not sure about this one,Connor,mel5
mel5P203.aif,,,,101,1,not really in a key,Connor,mel5
mel5P204.aif,,,,,2,not really in a key,Connor,mel5
mel5P205.aif,re,ti,do,201,1,,Connor,mel5
mel5P207.aif,,,,,2,not really in a key,Connor,mel5
mel5P208.aif,,,,210,2,not really in a key,Connor,mel5
mel5P209.aif,,,,,2,not really in a key,Connor,mel5
mel5P210.aif,,,,201,1,gave up at the end,Connor,mel5
mel5P211.aif,,,,,2,not really in a key,Connor,mel5
mel5P212.aif,,,,21,2,not really in a key,Connor,mel5
mel5P213.aif,,,,10,2,not really in a key,Connor,mel5
mel5P214.aif,,,,102,1,not really in a key,Connor,mel5
mel5P215.aif,do,ti,do,101,1,,Connor,mel5
mel5P216.aif,do,ti,do,101,1,,Connor,mel5
mel5P217.aif,do,ti,do,101,1,solfege is questionable,Connor,mel5
mel5P218.aif,,,,10,2,not really in a key,Connor,mel5
mel5P219.aif,,,,101,1,not really in a key,Connor,mel5
mel5P220.aif,ti,sol,do,210,2,Aaron Copland,Connor,mel5
mel5P221.aif,,,,101,1,not really in a key,Connor,mel5
mel5P223.aif,,,,,2,not really in a key,Connor,mel5
mel5P224.aif,,,,,,NO AUDIO,Connor,mel5
mel5P225.aif,,,,,,NO AUDIO,Connor,mel5
mel5P227.aif,do,re,do,10,2,,Connor,mel5
mel5P228.aif,,,,201,1,not really in a key,Connor,mel5
mel5P229.aif,do,ti,do,101,1,solfege is questionable,Connor,mel5
mel5P230.aif,re,mi,do,120,2,,Connor,mel5
mel6P001.aif,mi,re,do,210,2,,Connor,mel6
mel6P002.aif,mi,fa,do,120,2,,Connor,mel6
